canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source
https://crowdin.com,crowdin.com,,1,0,community|community:2fa.directory|community:enpass.io|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://crowdsupply.com,crowdsupply.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://crownaudit.org,crownaudit.org,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory
https://customerping.ai,customerping.ai,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://cutx.org,cutx.org,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://cvsspecialty.com,cvsspecialty.com,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://cyberark.com,cyberark.com,,1,0,community|community:fidoalliance.org|community:hideez.com|community:passkeyindex.io
https://datapacket.com,datapacket.com,,1,0,community|community:enpass.io|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://deakin.edu.au,deakin.edu.au,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://delinea.com,delinea.com,,1,0,community|community:2fa.directory|community:hideez.com|community:passkeys.2fa.directory
https://dell.com,dell.com,,1,0,community|community:passkeys.directory
https://devolutions.com,devolutions.com,,1,0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://dext.com,dext.com,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory
https://digistorage.es,digistorage.es,,1,0,community
https://dilats.com,dilats.com,,1,0,community
https://dimo.org,dimo.org,,1,0,community
https://dinero.dk,dinero.dk,,1,0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://discord.com,discord.com,,1,0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io
https://discourse.org,discourse.org,,1,0,community|community:enpass.io|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io
https://dmarcian.com,dmarcian.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://dmin.pro,dmin.pro,,1,0,community
https://dnsimple.com,dnsimple.com,,1,0,community|community:2fa.directory|community:hideez.com|community:passkeys.2fa.directory
https://docomo.ne.jp,docomo.ne.jp,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://documenso.com,documenso.com,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://docusign.com,docusign.com,https://account.docusign.com/me/privacy-security,2,1,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|endpoints
https://door43.org,door43.org,,1,0,community
https://doppler.com,doppler.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://drmlab.io,drmlab.io,,1,0,community
https://dropbox.com,dropbox.com,https://www.dropbox.com/account/security,3,1,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.directory|endpoints
https://duke.edu,duke.edu,,1,0,community|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://dynadot.com,dynadot.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://ebay.com,ebay.com,https://accounts.ebay.com/acctsec/manage/passkeys/create,11,1,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints
https://eduid.ch,eduid.ch,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory
https://ee.co.uk,ee.co.uk,,1,0,community|community:passkeys.2stable.com|community:passkeys.directory
https://eikerbladet.no,eikerbladet.no,,1,0,community
https://enclave.money,enclave.money,,1,0,community
https://enebakkavis.no,enebakkavis.no,,1,0,community
