canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source,crux_rank,crux_bucket
https://arbeitsagentur.de,arbeitsagentur.de,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory,5000,top 5k
https://asu.edu,asu.edu,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com,5000,top 5k
https://auone.jp,auone.jp,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory,5000,top 5k
https://bestbuy.com,bestbuy.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,5000,top 5k
https://binance.com,binance.com,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,5000,top 5k
https://canadiantire.ca,canadiantire.ca,,1.0,0.0,community|community:passkeys.2fa.directory,5000,top 5k
https://carnival.com,carnival.com,,1.0,0.0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com,5000,top 5k
https://cloudflare.com,cloudflare.com,,1.0,0.0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory,5000,top 5k
https://colorado.edu,colorado.edu,,1.0,0.0,community|community:2fa.directory,5000,top 5k
https://costco.ca,costco.ca,,1.0,0.0,community|community:passkeyindex.io|community:passkeys.2stable.com|community:passkeys.directory,5000,top 5k
https://dell.com,dell.com,,1.0,0.0,community|community:passkeys.directory,5000,top 5k
https://icloud.com,icloud.com,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:hideez.com|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,5000,top 5k
https://konami.net,konami.net,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory,5000,top 5k
https://login.gov,login.gov,,1.0,0.0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory,5000,top 5k
https://mangadex.org,mangadex.org,,1.0,0.0,community|community:2fa.directory|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.directory,5000,top 5k
https://minecraft.net,minecraft.net,,1.0,0.0,community|community:enpass.io|community:passkeys.2fa.directory,5000,top 5k
https://monash.edu,monash.edu,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,5000,top 5k
https://nfl.com,nfl.com,,1.0,0.0,community|community:passkeys-directory.dashlane.com,5000,top 5k
